filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,cosyn_res,cosyn_time,cvc5_res,cvc5_time,repairExamples_res,repairExamples_time,sketch_res,sketch_time
/sv-comp/ssh-simplified/s3_srvr_1_cil-1.c,unknown,yes,yes,1, 1,unrealizable,0m0.663s,unknown,60m0.019s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_1_cil-2.c,unknown,yes,yes,22, 1,realizable,0m0.015s,realizable,0m1.281s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_2_cil-1.c,unknown,yes,yes,3, 1,realizable,0m0.014s,realizable,0m0.182s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_2_cil-2.c,unknown,yes,yes,1, 1,unrealizable,0m0.293s,unknown,60m0.006s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_3_cil.c,unknown,yes,yes,1, 1,unrealizable,0m0.283s,unknown,60m0.022s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_4_cil.c,unknown,yes,yes,1, 1,unrealizable,0m0.336s,unknown,60m0.014s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_6_cil-1.c,unknown,yes,yes,1, 1,unrealizable,0m0.026s,maybe unrealizable,0m0.166s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_6_cil-2.c,unknown,yes,yes,1, 1,unrealizable,0m9.647s,unknown,60m0.026s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_7_cil.c,unknown,yes,yes,1, 1,unrealizable,0m2.438s,unknown,60m0.020s,error,error,error,error,
/sv-comp/ssh-simplified/s3_srvr_8_cil.c,unknown,yes,yes,1, 1,unrealizable,0m7.908s,unknown,60m0.019s,error,error,error,error,
/tcas/tcas_v10_realizable.c,realizable,yes,yes,8, 0,realizable,0m5.287s,unknown,60m0.010s,error,error,error,error,
/tcas/tcas_v11_unknown.c,unknown,yes,yes,8, 0,realizable,0m5.383s,unknown,60m0.008s,error,error,error,error,
/tcas/tcas_v12_unknown.c,unknown,yes,yes,1, 0,realizable,0m2.092s,unknown,60m0.010s,error,error,error,error,
/tcas/tcas_v13_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.751s,unknown,60m0.017s,error,error,error,error,
/tcas/tcas_v14_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.112s,unknown,60m0.008s,error,error,error,error,
/tcas/tcas_v15_unknown.c,unknown,yes,yes,2, 0,realizable,0m2.428s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v16_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.318s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v17_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.380s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v18_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.400s,unknown,60m0.006s,error,error,error,error,
/tcas/tcas_v19_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.525s,unknown,60m0.005s,error,error,error,error,
/tcas/tcas_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m2.415s,unknown,60m0.009s,error,error,error,error,
/tcas/tcas_v20_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.850s,unknown,60m0.006s,error,error,error,error,
/tcas/tcas_v21_unknown.c,unknown,yes,yes,1, 0,realizable,0m0.852s,unknown,60m0.005s,error,error,error,error,
/tcas/tcas_v22_unknown.c,unknown,yes,yes,1, 0,realizable,0m0.775s,unknown,60m0.005s,error,error,error,error,
/tcas/tcas_v23_unknown.c,unknown,yes,yes,1, 0,realizable,0m2.169s,unknown,60m0.006s,error,error,error,error,
/tcas/tcas_v24_unknown.c,unknown,yes,yes,1, 0,realizable,0m2.666s,unknown,60m0.006s,error,error,error,error,
/tcas/tcas_v25_realizable.c,realizable,yes,yes,1, 0,realizable,0m2.916s,unknown,60m0.005s,error,error,error,error,
/tcas/tcas_v26_unknown.c,unknown,yes,yes,1, 0,realizable,0m2.400s,unknown,60m0.012s,error,error,error,error,
/tcas/tcas_v27_unknown.c,unknown,yes,yes,1, 0,realizable,0m2.346s,unknown,60m0.009s,error,error,error,error,
/tcas/tcas_v28_realizable.c,realizable,yes,yes,2, 0,realizable,0m3.662s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v29_unknown.c,unknown,yes,yes,1, 0,unrealizable,0m0.403s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v2_unknown.c,unknown,yes,yes,2, 0,realizable,0m3.442s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v30_unknown.c,unknown,yes,yes,1, 0,unrealizable,0m0.329s,unknown,60m0.005s,error,error,error,error,
/tcas/tcas_v31_unknown.c,unknown,yes,yes,1, 0,realizable,0m1.980s,unknown,60m0.005s,error,error,error,error,
/tcas/tcas_v32_unknown.c,unknown,yes,yes,1, 0,realizable,0m2.776s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v33_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.406s,unknown,60m0.006s,error,error,error,error,
/tcas/tcas_v34_realizable.c,realizable,yes,yes,1, 0,realizable,0m2.515s,unknown,60m0.009s,error,error,error,error,
/tcas/tcas_v35_unknown.c,unknown,yes,yes,2, 0,realizable,0m6.444s,unknown,60m0.006s,error,error,error,error,
/tcas/tcas_v36_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.629s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v37_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.503s,unknown,60m0.013s,error,error,error,error,
/tcas/tcas_v38_unknown.c,unknown,yes,yes,2, 0,realizable,0m3.194s,unknown,60m0.008s,error,error,error,error,
/tcas/tcas_v39_unknown.c,unknown,yes,yes,1, 0,realizable,0m2.975s,unknown,60m0.005s,error,error,error,error,
/tcas/tcas_v3_realizable.c,realizable,yes,yes,1, 0,realizable,0m1.213s,unknown,60m0.006s,error,error,error,error,
/tcas/tcas_v40_realizable.c,realizable,yes,yes,1, 0,realizable,0m2.771s,unknown,60m0.005s,error,error,error,error,
/tcas/tcas_v41_unknown.c,unknown,yes,yes,1, 0,realizable,0m1.186s,unknown,60m0.008s,error,error,error,error,
/tcas/tcas_v4_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.986s,unknown,60m0.008s,error,error,error,error,
/tcas/tcas_v5_realizable.c,realizable,yes,yes,1, 0,realizable,0m3.083s,unknown,60m0.009s,error,error,error,error,
/tcas/tcas_v6_realizable.c,realizable,yes,yes,4, 0,realizable,0m5.906s,unknown,60m0.011s,error,error,error,error,
/tcas/tcas_v7_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m0.604s,unknown,60m0.006s,error,error,error,error,
/tcas/tcas_v8_unknown.c,unknown,yes,yes,2, 0,unrealizable,0m1.011s,unknown,60m0.007s,error,error,error,error,
/tcas/tcas_v9_realizable.c,realizable,yes,yes,1, 0,realizable,0m2.533s,unknown,60m0.006s,error,error,error,error,
